,model_name,n_models,workers_per_model,pipeline_size,batch_size,throughput_avg,throughput_peak,latency_ms_p0,latency_ms_p50,latency_ms_p90,latency_ms_p95,latency_ms_p99,latency_ms_p100,cpu_avg_percent,cpu_percent_p50,mem_avg_percent,mem_percent_p50,e2e_avg_ms,infer_avg_ms,total_infs,total_s,performance_level,model_filename,device_type,instance_type,cost_per_1m_inf
0,layout_neuron_ncp1_bs1.pt,1,1,1,1,3.632,4.0,269.259,274.134,283.68,287.86,296.429,1042.111,15.58,16.6,15.843,16.5,277.511,277.497,418,120.16,3,layout_neuron_ncp1_bs1.pt,neuron,inf1.2xlarge,27.689
2,layout_neuron_ncp1_bs1.pt,1,2,1,1,4.609,6.0,420.17,431.62,442.063,446.05,461.931,1207.609,28.537,25.7,17.337,17.2,435.714,435.7,541,120.17,3,layout_neuron_ncp1_bs1.pt,neuron,inf1.2xlarge,21.819
1,layout_neuron_ncp1_bs1.pt,4,1,1,1,8.672,11.0,369.264,454.655,516.128,534.767,566.163,1546.039,53.925,54.6,43.026,48.0,464.278,464.26,1018,121.31,3,layout_neuron_ncp1_bs1.pt,neuron,inf1.2xlarge,11.595
0,layout_neuron_ncp1_bs2.pt,1,1,1,2,3.261,4.0,593.53,611.465,623.327,628.831,645.701,1604.589,16.21,16.1,22.227,23.9,616.993,616.978,372,120.51,3,layout_neuron_ncp1_bs2.pt,neuron,inf1.2xlarge,30.833
0,layout_neuron_ncp1_bs3.pt,1,1,1,3,3.189,6.0,913.624,940.5,956.011,964.999,986.415,1897.96,19.47,13.8,28.693,31.2,949.833,949.817,363,120.68,3,layout_neuron_ncp1_bs3.pt,neuron,inf1.2xlarge,31.53
3,layout_neuron_ncp1_bs1.pt,4,2,1,1,9.621,12.0,540.667,823.81,959.532,992.006,1153.771,3885.238,70.18,68.6,45.3,50.5,843.401,843.381,1124,123.79,3,layout_neuron_ncp1_bs1.pt,neuron,inf1.2xlarge,10.452
2,layout_neuron_ncp1_bs2.pt,1,2,1,2,4.107,8.0,949.297,975.305,996.606,1002.617,1034.988,2001.379,33.008,24.45,23.991,24.9,985.86,985.846,470,120.74,3,layout_neuron_ncp1_bs2.pt,neuron,inf1.2xlarge,24.483
1,layout_neuron_ncp1_bs2.pt,4,1,1,2,8.18,12.0,762.341,965.71,1111.607,1162.414,2132.325,3902.078,65.285,52.8,70.605,79.0,992.65,992.629,926,123.87,3,layout_neuron_ncp1_bs2.pt,neuron,inf1.2xlarge,12.293
1,layout_neuron_ncp1_bs3.pt,1,2,1,3,6.0,6.0,1449.417,1476.371,1492.349,1494.973,1972.139,2467.653,42.438,12.7,31.693,32.8,1488.727,1488.711,459,121.38,3,layout_neuron_ncp1_bs3.pt,neuron,inf1.2xlarge,16.759
3,layout_neuron_ncp1_bs2.pt,4,2,1,2,9.829,16.0,1341.502,1755.419,2083.784,2196.26,3023.727,4709.396,75.114,65.9,76.424,83.3,1803.06,1803.039,1048,124.08,3,layout_neuron_ncp1_bs2.pt,neuron,inf1.2xlarge,10.231
